City Name,Date,Latitude,Longitude,Country,Humidity,Cloudiness,Max Temp,Wind Speed,Temperature
Cape Town,2019-10-12 23:44:40,18.42,-33.93,ZA,72,13,63.0,19.46,62.08
Joensuu,2019-10-12 23:44:41,29.76,62.6,FI,100,90,43.0,12.75,41.29
Ust-Tsilma,2019-10-12 23:44:41,52.15,65.44,RU,92,100,38.88,7.31,38.88
Koumac,2019-10-12 23:44:41,164.28,-20.56,NC,48,100,84.49,3.79,84.49
Bluff,2019-10-12 23:44:42,149.07,-23.58,AU,20,0,78.35,8.71,78.35
Ushuaia,2019-10-12 23:44:42,-68.31,-54.81,AR,86,90,33.8,23.04,33.8
Bathsheba,2019-10-12 23:44:42,-59.52,13.22,BB,78,40,82.4,10.29,82.4
Kruisfontein,2019-10-12 23:44:42,24.73,-34.0,ZA,76,27,52.56,8.06,52.56
Arraial do Cabo,2019-10-12 23:44:42,-42.02,-22.97,BR,87,0,72.37,26.42,72.37
Albany,2019-10-12 23:44:43,-73.75,42.65,US,67,75,61.0,3.36,57.24
Jamestown,2019-10-12 23:44:43,138.6,-33.21,AU,22,98,72.43,13.08,72.43
Busselton,2019-10-12 23:44:43,115.35,-33.64,AU,60,62,55.99,8.82,55.99
East London,2019-10-12 23:44:44,27.91,-33.02,ZA,74,90,63.43,9.27,63.43
Parangan,2019-10-12 23:44:44,119.94,5.08,PH,69,84,83.48,2.15,83.48
Nalut,2019-10-12 23:44:44,10.98,31.86,LY,86,0,68.72,3.83,68.72
Hermanus,2019-10-12 23:44:45,19.24,-34.42,ZA,88,57,62.01,22.82,61.56
Staraya,2019-10-12 23:44:45,30.63,59.93,RU,87,75,46.99,6.71,46.35
Ilulissat,2019-10-12 23:44:45,-51.1,69.22,GL,68,90,24.8,2.24,24.8
Thompson,2019-10-12 23:44:45,-97.86,55.74,CA,97,90,32.0,11.41,32.0
Qaanaaq,2019-10-12 23:35:02,-69.36,77.48,GL,65,85,18.45,6.99,18.45
Tabou,2019-10-12 23:44:46,-7.36,4.42,CI,94,100,74.46,7.16,74.46
Bima,2019-10-12 23:44:46,118.73,-8.45,ID,61,95,81.09,3.09,81.09
Hilo,2019-10-12 23:44:46,-155.08,19.71,US,58,40,86.0,4.7,76.06
Tuatapere,2019-10-12 23:44:47,167.69,-46.13,NZ,71,94,54.0,8.99,54.0
Ostrovnoy,2019-10-12 23:44:47,39.51,68.05,RU,93,99,35.08,9.36,35.08
Mayo,2019-10-12 23:44:47,-135.9,63.59,CA,50,75,33.8,12.75,33.8
Balugaon,2019-10-12 23:44:47,85.21,19.75,IN,92,85,75.06,3.07,75.06
Poum,2019-10-12 23:44:48,20.71,41.28,MK,88,0,52.81,1.59,52.81
Punta Arenas,2019-10-12 23:44:48,-70.91,-53.16,CL,59,20,37.4,25.28,37.2
Rikitea,2019-10-12 23:44:48,-134.97,-23.12,PF,71,70,69.31,13.19,69.31
Port Elizabeth,2019-10-12 23:44:48,-74.98,39.31,US,52,75,66.2,5.82,63.55
Hualmay,2019-10-12 23:44:49,-77.61,-11.1,PE,84,1,58.42,2.74,58.42
Atuona,2019-10-12 23:35:02,-139.03,-9.8,PF,70,3,78.98,13.74,78.98
Cherskiy,2019-10-12 23:35:01,161.3,68.75,RU,79,100,31.33,8.04,31.33
Beringovskiy,2019-10-12 23:44:49,179.32,63.05,RU,72,88,38.44,16.43,38.44
Markapur,2019-10-12 23:44:49,79.27,15.74,IN,84,87,77.52,0.53,77.52
Vaini,2019-10-12 23:44:50,74.49,15.34,IN,95,100,68.45,2.03,68.45
Muros,2019-10-12 23:44:50,-9.06,42.77,ES,77,75,68.0,12.75,64.22
Barrow,2019-10-12 23:44:50,-60.23,-38.31,AR,75,29,51.33,6.76,51.33
Kodiak,2019-10-12 23:44:50,-94.76,39.95,US,49,1,64.4,6.93,61.99
Purpe,2019-10-12 23:44:50,76.69,64.48,RU,94,100,37.99,13.45,37.99
Markova,2019-10-12 23:44:51,104.21,52.21,RU,78,0,15.8,6.71,15.8
Kupino,2019-10-12 23:44:51,77.31,54.36,RU,87,47,43.21,2.58,43.21
Nikolskoye,2019-10-12 23:44:51,30.79,59.7,RU,87,75,46.99,6.71,46.35
Mataura,2019-10-12 23:44:51,168.86,-46.19,NZ,71,56,54.0,8.99,54.0
Yellowknife,2019-10-12 23:44:51,-114.38,62.45,CA,61,75,46.4,5.82,45.79
Moose Factory,2019-10-12 23:44:52,-80.61,51.26,CA,87,90,44.6,9.17,44.6
Lagoa,2019-10-12 23:44:52,-8.45,37.14,PT,93,0,66.99,2.24,64.54
Hobart,2019-10-12 23:44:52,147.33,-42.88,AU,57,75,55.99,6.93,54.82
Guerrero Negro,2019-10-12 23:44:52,-114.04,27.97,MX,35,0,78.98,13.39,78.98
Nador,2019-10-12 23:44:53,-2.93,35.17,MA,88,8,69.8,5.82,67.96
Macapa,2019-10-12 23:44:53,-51.07,0.05,BR,66,0,84.2,11.41,84.2
Puerto Ayora,2019-10-12 23:44:53,-90.35,-0.74,EC,57,40,77.0,11.41,72.46
Bredasdorp,2019-10-12 23:44:53,20.04,-34.53,ZA,82,82,61.0,5.82,60.19
Bambous Virieux,2019-10-12 23:45:40,57.76,-20.34,MU,83,40,73.0,6.93,72.37
Byron Bay,2019-10-12 23:45:41,153.62,-28.65,AU,82,75,71.01,12.75,67.64
Husavik,2019-10-12 23:45:41,-96.99,50.56,CA,96,90,36.0,5.99,34.93
Saint-Philippe,2019-10-12 23:45:41,-73.48,45.36,CA,87,90,57.2,5.82,55.56
Mar del Plata,2019-10-12 23:45:41,-67.52,-46.43,AR,28,67,48.42,11.48,48.42
Tanout,2019-10-12 23:45:42,8.88,14.97,NE,41,0,87.21,8.04,87.21
Cayenne,2019-10-12 23:45:42,-52.33,4.94,GF,94,20,77.0,2.24,77.0
Provideniya,2019-10-12 23:45:42,-173.23,64.42,RU,76,0,32.07,4.38,32.07
Bandarbeyla,2019-10-12 23:45:43,50.81,9.49,SO,76,20,80.4,0.94,80.4
Phultala,2019-10-12 23:45:43,89.52,22.7,BD,85,0,73.53,4.15,73.53
Minot,2019-10-12 23:45:43,-101.3,48.23,US,92,90,32.0,20.8,30.9
Aquidauana,2019-10-12 23:45:43,-55.78,-20.47,BR,52,83,81.25,5.13,81.25
Kuching,2019-10-12 23:45:44,110.34,1.56,MY,100,75,77.0,2.24,77.0
Bethel,2019-10-12 23:45:44,-161.76,60.79,US,59,1,37.4,11.41,36.77
Tiksi,2019-10-12 23:45:44,128.87,71.64,RU,94,99,16.75,8.01,16.75
Flin Flon,2019-10-12 23:45:44,-101.88,54.77,CA,44,75,41.0,13.87,41.0
Isangel,2019-10-12 23:45:45,169.27,-19.55,VU,83,90,78.8,11.41,78.8
Nouadhibou,2019-10-12 23:45:45,-17.03,20.93,MR,47,0,77.0,18.34,77.0
Souillac,2019-10-12 23:45:45,-0.6,45.6,FR,68,50,71.6,13.87,70.05
Verkhnevilyuysk,2019-10-12 23:45:46,120.31,63.45,RU,91,44,12.51,4.76,12.51
Gananoque,2019-10-12 23:45:46,-76.16,44.33,CA,71,75,53.6,14.99,51.24
Quatre Cocos,2019-10-12 23:45:46,57.76,-20.21,MU,83,40,73.0,6.93,72.32
Kalmunai,2019-10-12 23:45:46,81.82,7.42,LK,72,33,82.81,5.62,82.81
Broken Hill,2019-10-12 23:45:47,141.45,-31.97,AU,16,40,69.8,21.92,69.8
Aklavik,2019-10-12 23:45:47,-135.01,68.22,CA,59,75,33.8,5.82,31.69
Castro,2019-10-12 23:45:47,-73.76,-42.48,CL,66,19,48.2,11.41,48.2
Kapaa,2019-10-12 23:45:47,-159.32,22.08,US,74,75,84.2,11.41,81.95
Hithadhoo,2019-10-12 23:45:47,73.08,-0.6,MV,79,79,81.37,10.54,81.37
Isiro,2019-10-12 23:45:48,27.62,2.77,CD,99,100,64.45,1.62,64.45
Te Anau,2019-10-12 23:45:48,167.72,-45.41,NZ,90,98,43.02,0.98,43.02
Chumikan,2019-10-12 23:45:48,135.31,54.72,RU,46,5,27.45,18.3,27.45
Talcahuano,2019-10-12 23:45:49,-73.12,-36.72,CL,72,64,59.0,13.87,59.0
Tuktoyaktuk,2019-10-12 23:45:49,-133.03,69.44,CA,80,75,33.8,25.28,33.8
Pimenteiras,2019-10-12 23:45:49,-41.42,-6.24,BR,35,22,79.9,3.91,79.9
Chokurdakh,2019-10-12 23:45:50,147.9,70.62,RU,95,90,23.67,8.83,23.67
Dikson,2019-10-12 23:45:50,80.55,73.51,RU,98,100,30.88,20.76,30.88
Itupiranga,2019-10-12 23:45:50,-49.33,-5.13,BR,58,20,87.8,4.7,87.8
Udachnyy,2019-10-12 23:45:51,112.4,66.42,RU,55,100,12.22,4.77,12.22
